Date,Wallet,Type,Category name,Amount,Currency,Note,Labels,Author,Date_2,year,month,YearMonth
2024-12-03T17:07:37+00:00,Monthly,Expense,Bills & Fees,-5.566,GBP,,monthly,,03/12/2024,2024,12,2024-12
2024-12-03T17:07:37+00:00,Monthly,Expense,Eating out/take away,-71.776,GBP,,monthly,,03/12/2024,2024,12,2024-12
2024-12-03T17:07:37+00:00,Monthly,Expense,Bills & Fees,-39.069,GBP,,monthly,,03/12/2024,2024,12,2024-12
2024-12-04T17:07:37+00:00,Monthly,Expense,Bills & Fees,-7.689,GBP,,monthly,,04/12/2024,2024,12,2024-12
2024-12-05T17:07:37+00:00,Monthly,Expense,Bills & Fees,-43.04,GBP,,monthly,,05/12/2024,2024,12,2024-12
2024-12-05T17:07:37+00:00,Monthly,Expense,Food & Drink,-5.96,GBP,,monthly,,05/12/2024,2024,12,2024-12
2024-12-06T17:07:37+00:00,Monthly,Expense,Food & Drink,-105.804,GBP,,monthly,,06/12/2024,2024,12,2024-12
2024-12-06T17:07:37+00:00,Monthly,Expense,Healthcare,-63.48,GBP,,monthly,,06/12/2024,2024,12,2024-12
2024-12-08T17:07:37+00:00,Monthly,Expense,Bills & Fees,-48.422,GBP,,monthly,,08/12/2024,2024,12,2024-12
2024-12-09T17:07:37+00:00,Monthly,Expense,Food & Drink,-26.8,GBP,,monthly,,09/12/2024,2024,12,2024-12
2024-12-09T17:07:37+00:00,Monthly,Expense,Food & Drink,-41.734,GBP,,monthly,,09/12/2024,2024,12,2024-12
2024-12-09T17:07:37+00:00,Monthly,Expense,Bills & Fees,-4.941,GBP,,monthly,,09/12/2024,2024,12,2024-12
2024-12-10T17:07:37+00:00,Monthly,Expense,Bills & Fees,-24.272,GBP,,monthly,,10/12/2024,2024,12,2024-12
2024-12-11T17:07:37+00:00,Monthly,Expense,Transport,-102.234,GBP,,monthly,,11/12/2024,2024,12,2024-12
2024-12-11T17:07:37+00:00,Monthly,Expense,Bills & Fees,-25.712,GBP,,monthly,,11/12/2024,2024,12,2024-12
2024-12-11T17:07:37+00:00,Monthly,Expense,Transport,-98.6,GBP,,monthly,,11/12/2024,2024,12,2024-12
2024-12-14T17:07:37+00:00,Monthly,Expense,Bills & Fees,-48.912,GBP,,monthly,,14/12/2024,2024,12,2024-12
2024-12-14T17:07:37+00:00,Monthly,Expense,Food & Drink,-8.532,GBP,,monthly,,14/12/2024,2024,12,2024-12
2024-12-15T17:07:37+00:00,Monthly,Expense,Bills & Fees,-69.264,GBP,,monthly,,15/12/2024,2024,12,2024-12
2024-12-16T17:07:37+00:00,Monthly,Expense,Bills & Fees,-2.0,GBP,,monthly,,16/12/2024,2024,12,2024-12
2024-12-17T17:07:37+00:00,Monthly,Expense,Eating out/take away,-87.612,GBP,,monthly,,17/12/2024,2024,12,2024-12
2024-12-17T17:07:37+00:00,Monthly,Expense,Bills & Fees,-68.508,GBP,,monthly,,17/12/2024,2024,12,2024-12
2024-12-19T17:07:37+00:00,Monthly,Expense,Food & Drink,-43.96,GBP,,monthly,,19/12/2024,2024,12,2024-12
2024-12-22T17:07:37+00:00,Monthly,Expense,Transport,-23.968,GBP,,monthly,,22/12/2024,2024,12,2024-12
2024-12-24T17:07:37+00:00,Monthly,Expense,Bills & Fees,-32.301,GBP,,monthly,,24/12/2024,2024,12,2024-12
2024-12-24T17:07:37+00:00,Monthly,Expense,Food & Drink,-12.784,GBP,,monthly,,24/12/2024,2024,12,2024-12
2024-12-24T17:07:37+00:00,Monthly,Expense,Bills & Fees,-79.227,GBP,,monthly,,24/12/2024,2024,12,2024-12
2024-12-25T17:07:37+00:00,Monthly,Expense,Food & Drink,-21.132,GBP,,monthly,,25/12/2024,2024,12,2024-12
2024-12-26T17:07:37+00:00,Monthly,Expense,Bills & Fees,-53.11,GBP,,monthly,,26/12/2024,2024,12,2024-12
2024-12-26T17:07:37+00:00,Monthly,Expense,Car,-64.064,GBP,,time to time,,26/12/2024,2024,12,2024-12
2024-12-27T17:07:37+00:00,Monthly,Expense,Food & Drink,-5.94,GBP,,monthly,,27/12/2024,2024,12,2024-12
2024-12-28T17:07:37+00:00,Monthly,Expense,Food & Drink,-54.362,GBP,,monthly,,28/12/2024,2024,12,2024-12
2024-12-28T17:07:37+00:00,Monthly,Expense,Transport,-89.99,GBP,,monthly,,28/12/2024,2024,12,2024-12
2024-12-01T17:07:37+00:00,Monthly,Income,Salary,1705.0,GBP,,monthly,,01/12/2024,2024,12,2024-12
2024-12-29T20:20:07+00:00,Expense,Expense,Bills & Fees,-10.0,,Giffgaff,monthly,,,2024,12,2024-12
