Date,Wallet,Type,Category name,Amount,Currency,Note,Labels,Author,Date_2,year,month,YearMonth
2024-07-02T17:07:37+00:00,Monthly,Expense,Food & Drink,-18.458,GBP,,monthly,,02/07/2024,2024,7,2024-07
2024-07-02T17:07:37+00:00,Monthly,Expense,Bills & Fees,-96.877,GBP,,monthly,,02/07/2024,2024,7,2024-07
2024-07-03T17:07:37+00:00,Monthly,Expense,Education,-19.548,GBP,,monthly,,03/07/2024,2024,7,2024-07
2024-07-03T17:07:37+00:00,Monthly,Expense,Bills & Fees,-51.496,GBP,,monthly,,03/07/2024,2024,7,2024-07
2024-07-04T17:07:37+00:00,Monthly,Expense,Food & Drink,-6.809,GBP,,monthly,,04/07/2024,2024,7,2024-07
2024-07-04T17:07:37+00:00,Monthly,Expense,Bills & Fees,-56.367,GBP,,monthly,,04/07/2024,2024,7,2024-07
2024-07-04T17:07:37+00:00,Monthly,Expense,Alcohol and cigarettes,-43.816,GBP,,monthly,,04/07/2024,2024,7,2024-07
2024-07-04T17:07:37+00:00,Monthly,Expense,Bills & Fees,-81.1,GBP,,monthly,,04/07/2024,2024,7,2024-07
2024-07-06T17:07:37+00:00,Monthly,Expense,Education,-71.84,GBP,,monthly,,06/07/2024,2024,7,2024-07
2024-07-06T17:07:37+00:00,Monthly,Expense,Bills & Fees,-58.725,GBP,,monthly,,06/07/2024,2024,7,2024-07
2024-07-07T17:07:37+00:00,Monthly,Expense,Transport,-20.52,GBP,,monthly,,07/07/2024,2024,7,2024-07
2024-07-08T17:07:37+00:00,Monthly,Expense,Food & Drink,-22.168,GBP,,monthly,,08/07/2024,2024,7,2024-07
2024-07-08T17:07:37+00:00,Monthly,Expense,Bills & Fees,-57.28,GBP,,monthly,,08/07/2024,2024,7,2024-07
2024-07-08T17:07:37+00:00,Monthly,Expense,Alcohol and cigarettes,-76.904,GBP,,monthly,,08/07/2024,2024,7,2024-07
2024-07-08T17:07:37+00:00,Monthly,Expense,Bills & Fees,-51.667,GBP,,monthly,,08/07/2024,2024,7,2024-07
2024-07-09T17:07:37+00:00,Monthly,Expense,Food & Drink,-14.64,GBP,,monthly,,09/07/2024,2024,7,2024-07
2024-07-09T17:07:37+00:00,Monthly,Expense,Eating out/take away,-53.69,GBP,,monthly,,09/07/2024,2024,7,2024-07
2024-07-09T17:07:37+00:00,Monthly,Expense,Bills & Fees,-71.12,GBP,,monthly,,09/07/2024,2024,7,2024-07
2024-07-12T17:07:37+00:00,Monthly,Expense,Bills & Fees,-13.041,GBP,,monthly,,12/07/2024,2024,7,2024-07
2024-07-12T17:07:37+00:00,Monthly,Expense,Food & Drink,-102.168,GBP,,monthly,,12/07/2024,2024,7,2024-07
2024-07-13T17:07:37+00:00,Monthly,Expense,Eating out/take away,-46.24,GBP,,monthly,,13/07/2024,2024,7,2024-07
2024-07-14T17:07:37+00:00,Monthly,Expense,Healthcare,-21.447,GBP,,monthly,,14/07/2024,2024,7,2024-07
2024-07-14T17:07:37+00:00,Monthly,Expense,Bills & Fees,-8.19,GBP,,monthly,,14/07/2024,2024,7,2024-07
2024-07-14T17:07:37+00:00,Monthly,Expense,Bills & Fees,-33.392,GBP,,monthly,,14/07/2024,2024,7,2024-07
2024-07-16T17:07:37+00:00,Monthly,Expense,Food & Drink,-18.144,GBP,,monthly,,16/07/2024,2024,7,2024-07
2024-07-16T17:07:37+00:00,Monthly,Expense,Food & Drink,-72.444,GBP,,monthly,,16/07/2024,2024,7,2024-07
2024-07-17T17:07:37+00:00,Monthly,Expense,Alcohol and cigarettes,-2.53,GBP,,monthly,,17/07/2024,2024,7,2024-07
2024-07-17T17:07:37+00:00,Monthly,Expense,Bills & Fees,-38.151,GBP,,monthly,,17/07/2024,2024,7,2024-07
2024-07-18T17:07:37+00:00,Monthly,Expense,Bills & Fees,-37.851,GBP,,monthly,,18/07/2024,2024,7,2024-07
2024-07-21T17:07:37+00:00,Monthly,Expense,Bills & Fees,-106.744,GBP,,monthly,,21/07/2024,2024,7,2024-07
2024-07-24T17:07:37+00:00,Monthly,Expense,Sport & Hobbies,-62.28,GBP,,time to time,,24/07/2024,2024,7,2024-07
2024-07-24T17:07:37+00:00,Monthly,Expense,Eating out/take away,-83.314,GBP,,monthly,,24/07/2024,2024,7,2024-07
2024-07-24T17:07:37+00:00,Monthly,Expense,Eating out/take away,-12.664,GBP,,monthly,,24/07/2024,2024,7,2024-07
2024-07-25T17:07:37+00:00,Monthly,Expense,Sport & Hobbies,-50.42,GBP,,time to time,,25/07/2024,2024,7,2024-07
2024-07-26T17:07:37+00:00,Monthly,Expense,Bills & Fees,-18.153,GBP,,monthly,,26/07/2024,2024,7,2024-07
2024-07-27T17:07:37+00:00,Monthly,Expense,Transport,-20.68,GBP,,monthly,,27/07/2024,2024,7,2024-07
2024-07-27T17:07:37+00:00,Monthly,Expense,Food & Drink,-31.669,GBP,,monthly,,27/07/2024,2024,7,2024-07
2024-07-28T17:07:37+00:00,Monthly,Expense,Bills & Fees,-78.84,GBP,,monthly,,28/07/2024,2024,7,2024-07
2024-07-01T17:07:37+00:00,Monthly,Income,Salary,1534.5,GBP,,monthly,,01/07/2024,2024,7,2024-07
2024-07-01T16:48:22+00:00,Expense,Expense,Bills & Fees,-10.0,,Giffgaff,monthly,,,2024,7,2024-07
